
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 5 | Epoch: (1/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 9 | Epoch: (1/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 4 | Epoch: (1/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 4 | Epoch: (4/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 5 | Epoch: (4/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 9 | Epoch: (4/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 2 | Epoch: (1/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 1 | Epoch: (1/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 4 | Epoch: (7/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 2 | Epoch: (4/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 9 | Epoch: (7/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 4 | Epoch: (10/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 5 | Epoch: (7/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 4 | Epoch: (13/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 5 | Epoch: (10/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 1 | Epoch: (4/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 0 | Epoch: (1/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 9 | Epoch: (10/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 2 | Epoch: (7/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 5 | Epoch: (13/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 4 | Epoch: (16/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 3 | Epoch: (1/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 1 | Epoch: (7/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 6 | Epoch: (1/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 9 | Epoch: (13/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 4 | Epoch: (19/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 2 | Epoch: (10/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 7 | Epoch: (1/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 6 | Epoch: (4/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 7 | Epoch: (4/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 4 | Epoch: (22/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 8 | Epoch: (1/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 7 | Epoch: (7/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 9 | Epoch: (16/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 4 | Epoch: (25/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 7 | Epoch: (10/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 1 | Epoch: (10/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 3 | Epoch: (4/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 0 | Epoch: (4/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 5 | Epoch: (16/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 8 | Epoch: (4/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 6 | Epoch: (7/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 6 | Epoch: (10/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 3 | Epoch: (7/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 7 | Epoch: (13/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 1 | Epoch: (13/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 2 | Epoch: (13/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 9 | Epoch: (19/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 4 | Epoch: (28/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 6 | Epoch: (13/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 8 | Epoch: (7/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 0 | Epoch: (7/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 3 | Epoch: (10/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 2 | Epoch: (16/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 5 | Epoch: (19/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 9 | Epoch: (22/36)
2020-01-03T15:47:14+03:00 ==> Folder: 3 | 
  ==> Run: 6 | Epoch: (16/36)
